timestamp,battery_id,fingerprint,module_addr,samples,module_v,cell1_v,cell2_v,cell3_v,cell4_v,cell5_v,cell6_v,cell_delta_mv,temp1_c,temp2_c,alerts,faults,cov,cuv,health,notes
2026-08-03T04:59:58Z,B1,b59461646dce,1,5,21.5168,3.5924,3.6092,3.6086,3.6104,3.6087,3.6063,18.0,31.8,31.0,0x00,0x00,0x00,0x00,OK,
2026-08-03T05:04:28Z,B2,0213f8933df8,1,5,21.5518,3.6088,3.6135,3.6152,3.6136,3.6106,3.6092,6.4,30.9,30.8,0x00,0x00,0x00,0x00,OK,
2026-08-03T05:06:31Z,B3,64da32fe7562,1,5,21.5408,3.6092,3.6111,3.6122,3.6121,3.6097,3.6083,3.8,30.8,30.7,0x00,0x00,0x00,0x00,OK,
2026-08-03T05:09:28Z,B4,3652bb62dab4,1,5,21.5432,3.6087,3.6108,3.6107,3.6129,3.6103,3.6081,4.7,31.0,30.9,0x00,0x00,0x00,0x00,OK,
2026-08-03T05:13:07Z,B5,c1af882d85f9,1,5,21.5502,3.6094,3.6127,3.6133,3.6137,3.6125,3.6103,4.3,31.0,30.9,0x00,0x00,0x00,0x00,OK,
2026-08-03T05:15:39Z,B6,db4b74ce084e,1,5,21.7129,3.6374,3.6396,3.6407,3.6404,3.6397,3.6394,3.2,30.8,30.8,0x00,0x00,0x00,0x00,OK,
2026-08-03T05:17:00Z,B7,501319c9ddf9,1,5,19.7524,3.3148,3.3104,3.3131,3.3135,3.3098,3.3085,6.3,31.1,30.9,0x00,0x00,0x00,0x00,OK,
2026-08-04T02:25:25Z,B7,6d9b7ded3859,1,5,21.2470,3.5592,3.5611,3.5616,3.5623,3.5607,3.5596,3.1,33.6,33.0,0x00,0x00,0x00,0x00,OK,
2026-08-04T03:25:21Z,B7,e44b62e6d45f,1,5,21.1941,3.5507,3.5525,3.5531,3.5536,3.5519,3.5514,2.9,31.6,31.1,0x00,0x00,0x00,0x00,OK,
2026-08-04T03:34:47Z,B7,a6a88ff31cf8,1,5,21.1937,3.5504,3.5523,3.5528,3.5532,3.5515,3.5510,2.8,31.3,30.8,0x00,0x00,0x00,0x00,OK,
2026-08-04T03:52:46Z,B8,f636c42268f6,1,5,19.7976,3.3170,3.3184,3.3245,3.3155,3.3203,3.3142,10.2,28.5,28.5,0x00,0x00,0x00,0x00,OK,
2026-08-04T05:08:46Z,B8,8782ff1967dc,1,5,21.2665,3.5614,3.5643,3.5650,3.5641,3.5640,3.5627,3.6,28.4,28.0,0x00,0x00,0x00,0x00,OK,
2026-08-04T05:16:10Z,B9,03e1d57048a3,1,5,19.6210,3.2797,3.3027,3.2922,3.2975,3.2768,3.2963,25.9,26.1,26.1,0x00,0x00,0x00,0x00,WARN,
2026-08-04T20:39:58Z,B9,1307b0c12ecd,1,5,21.2027,3.5514,3.5561,3.5554,3.5565,3.5536,3.5544,5.1,29.4,28.7,0x00,0x00,0x00,0x00,OK,
2026-08-04T20:45:17Z,B10,09442aaf819c,1,5,19.7333,3.3069,3.3070,3.3148,3.3036,3.3124,3.3032,11.6,27.5,27.1,0x00,0x00,0x00,0x00,OK,
